word;strength;polarity;
1515;disaccord;strongsubj;negative
1516;disadvantage;strongsubj;negative
1517;disadvantaged;weaksubj;negative
1518;disadvantageous;strongsubj;negative
1519;disaffect;strongsubj;negative
1520;disaffected;strongsubj;negative
1521;disaffirm;strongsubj;negative
1522;disagree;strongsubj;negative
1523;disagreeable;strongsubj;negative
1524;disagreeably;strongsubj;negative
1525;disagreement;strongsubj;negative
1526;disallow;strongsubj;negative
1527;disappoint;strongsubj;negative
1528;disappointed;strongsubj;negative
1529;disappointing;strongsubj;negative
1530;disappointingly;strongsubj;negative
1531;disappointment;strongsubj;negative
1532;disapprobation;strongsubj;negative
1533;disapproval;strongsubj;negative
1534;disapprove;strongsubj;negative
1535;disapproving;strongsubj;negative
1536;disarm;weaksubj;negative
1537;disarray;strongsubj;negative
1538;disaster;strongsubj;negative
1539;disastrous;strongsubj;negative
1540;disastrously;strongsubj;negative
1541;disavow;strongsubj;negative
1542;disavowal;strongsubj;negative
1543;disbelief;strongsubj;negative
1544;disbelieve;strongsubj;negative
1545;disbeliever;strongsubj;negative
1546;discerning;strongsubj;positive
1547;disclaim;strongsubj;negative
1548;discombobulate;strongsubj;negative
1549;discomfit;strongsubj;negative
1550;discomfititure;strongsubj;negative
1551;discomfort;weaksubj;negative
1552;discompose;weaksubj;negative
1553;disconcert;strongsubj;negative
1554;disconcerted;strongsubj;negative
1555;disconcerting;strongsubj;negative
1556;disconcertingly;strongsubj;negative
1557;disconsolate;strongsubj;negative
1558;disconsolately;strongsubj;negative
1559;disconsolation;strongsubj;negative
1560;discontent;strongsubj;negative
1561;discontented;strongsubj;negative
1562;discontentedly;strongsubj;negative
1563;discontinuity;strongsubj;negative
1564;discord;strongsubj;negative
1565;discordance;strongsubj;negative
1566;discordant;strongsubj;negative
1567;discountenance;strongsubj;negative
1568;discourage;strongsubj;negative
1569;discouragement;strongsubj;negative
1570;discouraging;strongsubj;negative
1571;discouragingly;strongsubj;negative
1572;discourteous;strongsubj;negative
1573;discourteously;strongsubj;negative
1574;discredit;strongsubj;negative
1575;discreet;weaksubj;positive
1576;discrepant;weaksubj;negative
1577;discretion;weaksubj;positive
1578;discriminate;weaksubj;negative
1579;discriminating;weaksubj;positive
1580;discriminatingly;weaksubj;positive
1581;discrimination;weaksubj;negative
1582;discriminatory;strongsubj;negative
1583;disdain;strongsubj;negative
1584;disdainful;strongsubj;negative
1585;disdainfully;strongsubj;negative
1586;disease;weaksubj;negative
1587;diseased;weaksubj;negative
1588;disfavor;strongsubj;negative
1589;disgrace;strongsubj;negative
1590;disgraced;strongsubj;negative
1591;disgraceful;strongsubj;negative
1592;disgracefully;strongsubj;negative
1593;disgruntle;strongsubj;negative
1594;disgruntled;strongsubj;negative
1595;disgust;strongsubj;negative
1596;disgusted;strongsubj;negative
1597;disgustedly;strongsubj;negative
1598;disgustful;strongsubj;negative
1599;disgustfully;strongsubj;negative
1600;disgusting;strongsubj;negative
1601;disgustingly;strongsubj;negative
1602;dishearten;strongsubj;negative
1603;disheartening;strongsubj;negative
1604;dishearteningly;strongsubj;negative
1605;dishonest;strongsubj;negative
1606;dishonestly;strongsubj;negative
1607;dishonesty;strongsubj;negative
1608;dishonor;strongsubj;negative
1609;dishonorable;strongsubj;negative
1610;dishonorablely;strongsubj;negative
1611;disillusion;strongsubj;negative
1612;disillusioned;strongsubj;negative
1613;disinclination;strongsubj;negative
1614;disinclined;strongsubj;negative
1615;disingenuous;strongsubj;negative
1616;disingenuously;strongsubj;negative
1617;disintegrate;weaksubj;negative
1618;disinterested;weaksubj;negative
1619;disintegration;weaksubj;negative
1620;disinterest;strongsubj;negative
1621;disinterested;strongsubj;negative
1622;dislike;strongsubj;negative
1623;dislocated;weaksubj;negative
1624;disloyal;strongsubj;negative
1625;disloyalty;strongsubj;negative
1626;dismal;strongsubj;negative
1627;dismally;strongsubj;negative
1628;dismalness;strongsubj;negative
1629;dismay;strongsubj;negative
1630;dismayed;strongsubj;negative
1631;dismaying;strongsubj;negative
1632;dismayingly;strongsubj;negative
1633;dismissive;strongsubj;negative
1634;dismissively;strongsubj;negative
1635;disobedience;strongsubj;negative
1636;disobedient;strongsubj;negative
1637;disobey;strongsubj;negative
1638;disown;strongsubj;negative
1639;disorder;weaksubj;negative
1640;disordered;weaksubj;negative
1641;disorderly;weaksubj;negative
1642;disorganized;strongsubj;negative
1643;disorient;strongsubj;negative
1644;disoriented;strongsubj;negative
1645;disparage;strongsubj;negative
1646;disparaging;strongsubj;negative
1647;disparagingly;strongsubj;negative
1648;dispensable;weaksubj;negative
1649;dispirit;strongsubj;negative
1650;dispirited;strongsubj;negative
1651;dispiritedly;strongsubj;negative
1652;dispiriting;strongsubj;negative
1653;displace;weaksubj;negative
1654;displaced;weaksubj;negative
1655;displease;strongsubj;negative
1656;displeasing;strongsubj;negative
1657;displeasure;strongsubj;negative
1658;disproportionate;weaksubj;negative
1659;disprove;strongsubj;negative
1660;disputable;strongsubj;negative
1661;dispute;strongsubj;negative
1662;disputed;strongsubj;negative
1663;disquiet;strongsubj;negative
1664;disquieting;strongsubj;negative
1665;disquietingly;strongsubj;negative
1666;disquietude;strongsubj;negative
1667;disregard;strongsubj;negative
1668;disregardful;strongsubj;negative
1669;disreputable;strongsubj;negative
1670;disrepute;strongsubj;negative
1671;disrespect;strongsubj;negative
1672;disrespectable;strongsubj;negative
1673;disrespectablity;strongsubj;negative
1674;disrespectful;strongsubj;negative
1675;disrespectfully;strongsubj;negative
1676;disrespectfulness;strongsubj;negative
1677;disrespecting;strongsubj;negative
1678;disrupt;strongsubj;negative
1679;disruption;strongsubj;negative
1680;disruptive;strongsubj;negative
1681;dissatisfaction;strongsubj;negative
1682;dissatisfactory;strongsubj;negative
1683;dissatisfied;strongsubj;negative
1684;dissatisfy;strongsubj;negative
1685;dissatisfying;strongsubj;negative
1686;dissemble;strongsubj;negative
1687;dissembler;strongsubj;negative
1688;dissension;strongsubj;negative
1689;dissent;strongsubj;negative
1690;dissenter;strongsubj;negative
1691;dissention;strongsubj;negative
1692;disservice;strongsubj;negative
1693;dissidence;strongsubj;negative
1694;dissident;strongsubj;negative
1695;dissidents;strongsubj;negative
1696;dissocial;strongsubj;negative
1697;dissolute;strongsubj;negative
1698;dissolution;weaksubj;negative
1699;dissonance;strongsubj;negative
1700;dissonant;strongsubj;negative
1701;dissonantly;strongsubj;negative
1702;dissuade;strongsubj;negative
1703;dissuasive;strongsubj;negative
1704;distaste;strongsubj;negative
1705;distasteful;strongsubj;negative
1706;distastefully;strongsubj;negative
1707;distinct;weaksubj;positive
1708;distinction;weaksubj;positive
1709;distinctive;weaksubj;positive
1710;distinguish;weaksubj;positive
1711;distinguished;strongsubj;positive
1712;distort;strongsubj;negative
1713;distortion;strongsubj;negative
1714;distract;weaksubj;negative
1715;distracting;strongsubj;negative
1716;distraction;strongsubj;negative
1717;distraught;strongsubj;negative
1718;distraughtly;strongsubj;negative
1719;distraughtness;strongsubj;negative
1720;distress;strongsubj;negative
1721;distressed;strongsubj;negative
1722;distressing;strongsubj;negative
1723;distressingly;strongsubj;negative
1724;distrust;strongsubj;negative
1725;distrustful;strongsubj;negative
1726;distrusting;strongsubj;negative
1727;disturb;strongsubj;negative
1728;disturbed;strongsubj;negative
1729;disturbedlet;strongsubj;negative
1730;disturbing;strongsubj;negative
1731;disturbingly;strongsubj;negative
1732;disunity;strongsubj;negative
1733;disvalue;strongsubj;negative
1734;divergent;weaksubj;negative
1735;diversified;weaksubj;positive
1736;divide;weaksubj;negative
1737;divided;weaksubj;negative
1738;divine;strongsubj;positive
1739;divinely;strongsubj;positive
1740;division;weaksubj;negative
1741;divisive;strongsubj;negative
1742;divisively;strongsubj;negative
1743;divisiveness;strongsubj;negative
1744;divorce;weaksubj;negative
1745;divorced;weaksubj;negative
1746;dizzy;strongsubj;negative
1747;dizzing;strongsubj;negative
1748;dizzingly;strongsubj;negative
1749;doddering;strongsubj;negative
1750;dodge;strongsubj;positive
1751;dodgey;strongsubj;negative
1752;dogged;strongsubj;negative
1753;doggedly;strongsubj;negative
1754;dogmatic;strongsubj;negative
1755;doldrums;strongsubj;negative
1756;dominance;weaksubj;negative
1757;dominate;weaksubj;negative
1758;domination;strongsubj;negative
1759;domineer;strongsubj;negative
1760;domineering;strongsubj;negative
1761;doom;strongsubj;negative
1762;doomsday;strongsubj;negative
1763;dope;weaksubj;negative
1764;dote;strongsubj;positive
1765;dotingly;strongsubj;positive
1766;doubt;strongsubj;negative
1767;doubtful;strongsubj;negative
1768;doubtfully;strongsubj;negative
1769;doubtless;strongsubj;positive
1770;doubts;strongsubj;negative
1771;down;weaksubj;negative
1772;downbeat;strongsubj;negative
1773;downcast;strongsubj;negative
1774;downer;strongsubj;negative
1775;downfall;strongsubj;negative
1776;downfallen;strongsubj;negative
1777;downgrade;weaksubj;negative
1778;downhearted;strongsubj;negative
1779;downheartedly;strongsubj;negative
1780;downside;strongsubj;negative
1781;drab;strongsubj;negative
1782;draconian;strongsubj;negative
1783;draconic;strongsubj;negative
1784;dragon;strongsubj;negative
1785;dragons;strongsubj;negative
1786;dragoon;strongsubj;negative
1787;drain;strongsubj;negative
1788;drama;strongsubj;negative
1789;drastic;strongsubj;negative
1790;drastically;strongsubj;negative
1791;dread;strongsubj;negative
1792;dreadful;strongsubj;negative
1793;dreadfully;strongsubj;negative
1794;dreadfulness;strongsubj;negative
1795;dream;weaksubj;positive
1796;dream;strongsubj;positive
1797;dreamland;strongsubj;positive
1798;dreams;weaksubj;positive
1799;dreamy;weaksubj;positive
1800;dreary;strongsubj;negative
1801;drive;weaksubj;positive
1802;driven;weaksubj;positive
1803;drones;strongsubj;negative
1804;droop;weaksubj;negative
1805;drought;weaksubj;negative
1806;drowning;weaksubj;negative
1807;drunk;strongsubj;negative
1808;drunkard;strongsubj;negative
1809;drunken;strongsubj;negative
1810;dubious;strongsubj;negative
1811;dubiously;strongsubj;negative
1812;dubitable;strongsubj;negative
1813;dud;weaksubj;negative
1814;dull;weaksubj;negative
1815;dullard;strongsubj;negative
1816;dumb;strongsubj;negative
1817;dumbfound;strongsubj;negative
1818;dumbfounded;strongsubj;negative
1819;dummy;strongsubj;negative
1820;dump;weaksubj;negative
1821;dunce;strongsubj;negative
1822;dungeon;strongsubj;negative
1823;dungeons;strongsubj;negative
1824;dupe;strongsubj;negative
1825;durable;weaksubj;positive
1826;durability;weaksubj;positive
1827;dusty;weaksubj;negative
1828;dwindle;weaksubj;negative
1829;dwindling;weaksubj;negative
1830;dynamic;weaksubj;positive
1831;dying;weaksubj;negative
1832;eager;strongsubj;positive
1833;eagerly;strongsubj;positive
1834;eagerness;strongsubj;positive
1835;earnest;strongsubj;positive
1836;earnestly;strongsubj;positive
1837;earnestness;strongsubj;positive
1838;earsplitting;strongsubj;negative
1839;ease;weaksubj;positive
1840;easier;weaksubj;positive
1841;easiest;weaksubj;positive
1842;easily;weaksubj;positive
1843;easiness;weaksubj;positive
1844;easy;weaksubj;positive
1845;easygoing;strongsubj;positive
1846;ebullience;strongsubj;positive
1847;ebullient;strongsubj;positive
1848;ebulliently;strongsubj;positive
1849;eccentric;weaksubj;negative
1850;eccentricity;weaksubj;negative
1851;eclectic;strongsubj;positive
1852;economical;weaksubj;positive
1853;ecstasies;strongsubj;positive
1854;ecstasy;strongsubj;positive
1855;ecstatic;strongsubj;positive
1856;ecstatically;strongsubj;positive
1857;edgy;strongsubj;negative
1858;edify;strongsubj;positive
1859;educable;weaksubj;positive
1860;educated;weaksubj;positive
1861;educational;weaksubj;positive
1862;effective;weaksubj;positive
1863;effectiveness;weaksubj;positive
1864;effectual;weaksubj;positive
1865;efficacious;weaksubj;positive
1866;efficiency;weaksubj;positive
1867;efficient;weaksubj;positive
1868;effigy;strongsubj;negative
1869;effortless;strongsubj;positive
1870;effortlessly;strongsubj;positive
1871;effrontery;strongsubj;negative
1872;effusion;strongsubj;positive
1873;effusive;strongsubj;positive
1874;effusively;strongsubj;positive
1875;effusiveness;strongsubj;positive
1876;egalitarian;weaksubj;positive
1877;ego;strongsubj;negative
1878;egocentric;strongsubj;negative
1879;egomania;strongsubj;negative
1880;egotism;strongsubj;negative
1881;egotistical;strongsubj;negative
1882;egotistically;strongsubj;negative
1883;egregious;strongsubj;negative
1884;egregiously;strongsubj;negative
1885;ejaculate;strongsubj;negative
1886;elan;strongsubj;positive
1887;elate;weaksubj;positive
1888;elated;strongsubj;positive
1889;elatedly;strongsubj;positive
1890;elation;strongsubj;positive
1891;electionrigger;strongsubj;negative
1892;electrification;strongsubj;positive
1893;electrify;weaksubj;positive
1894;elegance;strongsubj;positive
1895;elegant;strongsubj;positive
1896;elegantly;strongsubj;positive
1897;elevate;weaksubj;positive
1898;elevated;weaksubj;positive
1899;eligible;weaksubj;positive
1900;eliminate;weaksubj;negative
1901;elimination;weaksubj;negative
1902;elite;weaksubj;positive
1903;eloquence;strongsubj;positive
1904;eloquent;strongsubj;positive
1905;eloquently;strongsubj;positive
1906;emaciated;strongsubj;negative
1907;emancipate;weaksubj;positive
1908;emasculate;strongsubj;negative
1909;embarrass;strongsubj;negative
1910;embarrassing;strongsubj;negative
1911;embarrassingly;strongsubj;negative
1912;embarrassment;strongsubj;negative
1913;embattled;weaksubj;negative
1914;embellish;strongsubj;positive
1915;embolden;weaksubj;positive
1916;embrace;strongsubj;positive
1917;embroil;strongsubj;negative
1918;embroiled;strongsubj;negative
1919;embroilment;strongsubj;negative
1920;eminence;strongsubj;positive
1921;eminent;strongsubj;positive
1922;emotional;strongsubj;negative
1923;empathize;strongsubj;negative
1924;empathy;strongsubj;negative
1925;emphatic;strongsubj;negative
1926;emphatically;strongsubj;negative
1927;empower;weaksubj;positive
1928;empowerment;weaksubj;positive
1929;emptiness;strongsubj;negative
1930;empty;weaksubj;negative
1931;enable;weaksubj;positive
1932;enchant;strongsubj;positive
1933;enchanted;strongsubj;positive
1934;enchanting;strongsubj;positive
1935;enchantingly;strongsubj;positive
1936;encourage;weaksubj;positive
1937;encouragement;strongsubj;positive
1938;encouraging;strongsubj;positive
1939;encouragingly;strongsubj;positive
1940;encroach;weaksubj;negative
1941;encroachment;weaksubj;negative
1942;endanger;strongsubj;negative
1943;endear;strongsubj;positive
1944;endearing;strongsubj;positive
1945;endless;weaksubj;negative
1946;endorse;strongsubj;positive
1947;endorsement;strongsubj;positive
1948;endorser;strongsubj;positive
1949;endurable;strongsubj;positive
1950;endure;strongsubj;positive
1951;enduring;strongsubj;positive
1952;enemies;weaksubj;negative
1953;enemy;weaksubj;negative
1954;energetic;weaksubj;positive
1955;energize;weaksubj;positive
1956;enervate;strongsubj;negative
1957;enfeeble;strongsubj;negative
1958;enflame;strongsubj;negative
1959;engaging;strongsubj;positive
1960;engrossing;strongsubj;positive
1961;engulf;weaksubj;negative
1962;enhance;weaksubj;positive
1963;enhanced;weaksubj;positive
1964;enhancement;weaksubj;positive
1965;enjoin;strongsubj;negative
1966;enjoy;weaksubj;positive
1967;enjoyable;strongsubj;positive
1968;enjoyably;strongsubj;positive
1969;enjoyment;strongsubj;positive
1970;enlighten;weaksubj;positive
1971;enlightenment;weaksubj;positive
1972;enliven;weaksubj;positive
1973;enmity;strongsubj;negative
1974;ennoble;strongsubj;positive
1975;enormities;strongsubj;negative
1976;enormity;strongsubj;negative
1977;enormous;strongsubj;negative
1978;enormously;strongsubj;negative
1979;enrage;strongsubj;negative
1980;enraged;strongsubj;negative
1981;enrapt;strongsubj;positive
1982;enrapture;weaksubj;positive
1983;enraptured;strongsubj;positive
1984;enrich;weaksubj;positive
1985;enrichment;weaksubj;positive
1986;enslave;strongsubj;negative
1987;ensure;weaksubj;positive
1988;entangle;weaksubj;negative
1989;entanglement;weaksubj;negative
1990;enterprising;weaksubj;positive
1991;entertain;weaksubj;positive
1992;entertaining;strongsubj;positive
1993;enthral;strongsubj;positive
1994;enthrall;strongsubj;positive
1995;enthralled;strongsubj;positive
1996;enthuse;strongsubj;positive
1997;enthusiasm;strongsubj;positive
1998;enthusiast;strongsubj;positive
1999;enthusiastic;strongsubj;positive
2000;enthusiastically;strongsubj;positive
2001;entice;strongsubj;positive
2002;enticing;strongsubj;positive
2003;enticingly;strongsubj;positive
2004;entrance;weaksubj;positive
2005;entranced;strongsubj;positive
2006;entrancing;strongsubj;positive
2007;entrap;strongsubj;negative
2008;entrapment;strongsubj;negative
2009;entreat;strongsubj;positive
2010;entreatingly;strongsubj;positive
2011;entrust;weaksubj;positive
2012;enviable;strongsubj;positive
2013;enviably;strongsubj;positive
2014;envious;strongsubj;negative
2015;enviously;strongsubj;negative
2016;enviousness;strongsubj;negative
2017;envision;weaksubj;positive
2018;envisions;weaksubj;positive
2019;envy;strongsubj;negative
2020;epic;strongsubj;positive
2021;epidemic;weaksubj;negative
2022;epitome;strongsubj;positive
2023;equality;weaksubj;positive
2024;equitable;weaksubj;positive
2025;equivocal;strongsubj;negative
2026;eradicate;weaksubj;negative
2027;erase;weaksubj;negative
2028;erode;weaksubj;negative
2029;erosion;weaksubj;negative
2030;err;strongsubj;negative
2031;errant;weaksubj;negative
2032;erratic;strongsubj;negative
2033;erratically;strongsubj;negative
2034;erroneous;strongsubj;negative
2035;erroneously;strongsubj;negative
2036;error;weaksubj;negative
2037;erudite;strongsubj;positive
2038;escapade;weaksubj;negative
2039;eschew;strongsubj;negative
2040;esoteric;weaksubj;negative
2041;essential;weaksubj;positive
2042;especially;strongsubj;positive
2043;esteem;strongsubj;positive
2044;estranged;strongsubj;negative
2045;established;weaksubj;positive
2046;eternal;weaksubj;negative
2047;eternity;strongsubj;positive
2048;ethical;strongsubj;positive
2049;eulogize;strongsubj;positive
2050;euphoria;strongsubj;positive
2051;euphoric;strongsubj;positive
2052;euphorically;strongsubj;positive
2053;evade;weaksubj;negative
2054;evasion;weaksubj;negative
2055;evasive;weaksubj;negative
2056;even;weaksubj;positive
2057;evenly;weaksubj;positive
2058;eventful;weaksubj;positive
2059;everlasting;strongsubj;positive
2060;evident;weaksubj;positive
2061;evidently;strongsubj;positive
2062;evil;strongsubj;negative
2063;evildoer;strongsubj;negative
2064;evils;strongsubj;negative
2065;eviscerate;strongsubj;negative
2066;evocative;strongsubj;positive
2067;exacerbate;strongsubj;negative
2068;exacting;weaksubj;negative
2069;exaggerate;strongsubj;negative
2070;exaggeration;strongsubj;negative
2071;exalt;strongsubj;positive
2072;exaltation;strongsubj;positive
2073;exalted;strongsubj;positive
2074;exaltedly;strongsubj;positive
2075;exalting;strongsubj;positive
2076;exaltingly;strongsubj;positive
2077;exasperate;strongsubj;negative
2078;exasperation;strongsubj;negative
2079;exasperating;strongsubj;negative
2080;exasperatingly;strongsubj;negative
2081;exceed;strongsubj;positive
2082;exceeding;strongsubj;positive
2083;exceedingly;strongsubj;positive
2084;excel;strongsubj;positive
2085;excellence;strongsubj;positive
2086;excellency;strongsubj;positive
2087;excellent;strongsubj;positive
2088;excellently;strongsubj;positive
2089;exceptional;strongsubj;positive
2090;exceptionally;strongsubj;positive
2091;excessive;strongsubj;negative
2092;excessively;strongsubj;negative
2093;excite;weaksubj;positive
2094;excited;strongsubj;positive
2095;excitedly;strongsubj;positive
2096;excitedness;strongsubj;positive
2097;excitement;strongsubj;positive
2098;exciting;strongsubj;positive
2099;excitingly;strongsubj;positive
2100;exclaim;strongsubj;negative
2101;exclude;weaksubj;negative
2102;exclusion;weaksubj;negative
2103;exclusive;weaksubj;positive
2104;excoriate;strongsubj;negative
2105;excruciating;strongsubj;negative
2106;excruciatingly;strongsubj;negative
2107;excusable;strongsubj;positive
2108;excuse;weaksubj;negative
2109;excuse;weaksubj;positive
2110;excuses;weaksubj;negative
2111;execrate;strongsubj;negative
2112;exemplar;strongsubj;positive
2113;exemplary;strongsubj;positive
2114;exhaust;weaksubj;negative
2115;exhaustion;weaksubj;negative
2116;exhaustive;weaksubj;positive
2117;exhaustively;weaksubj;positive
2118;exhilarate;strongsubj;positive
2119;exhilarating;strongsubj;positive
2120;exhilaratingly;strongsubj;positive
2121;exhilaration;strongsubj;positive
2122;exhort;strongsubj;negative
2123;exile;weaksubj;negative
2124;exonerate;strongsubj;positive
2125;exorbitant;strongsubj;negative
2126;exorbitantance;strongsubj;negative
2127;exorbitantly;strongsubj;negative
2128;expansive;strongsubj;positive
2129;expedient;weaksubj;negative
2130;expediencies;weaksubj;negative
2131;expel;weaksubj;negative
2132;expensive;weaksubj;negative
2133;experienced;weaksubj;positive
2134;expert;weaksubj;positive
2135;expertly;strongsubj;positive
2136;expire;strongsubj;negative
2137;explicit;strongsubj;positive
2138;explicitly;strongsubj;positive
2139;explode;weaksubj;negative
2140;exploit;strongsubj;negative
2141;exploitation;strongsubj;negative
2142;expose;weaksubj;negative
2143;exposed;weaksubj;negative
2144;explosive;weaksubj;negative
2145;expressive;weaksubj;positive
2146;expropriate;weaksubj;negative
2147;expropriation;weaksubj;negative
2148;expulse;weaksubj;negative
2149;expunge;strongsubj;negative
2150;exquisite;strongsubj;positive
2151;exquisitely;strongsubj;positive
2152;exterminate;strongsubj;negative
2153;extermination;strongsubj;negative
2154;extinguish;weaksubj;negative
2155;extol;strongsubj;positive
2156;extoll;strongsubj;positive
2157;extort;weaksubj;negative
2158;extortion;strongsubj;negative
2159;extraneous;weaksubj;negative
2160;extraordinarily;strongsubj;positive
2161;extraordinary;strongsubj;positive
2162;extravagance;strongsubj;negative
2163;extravagant;strongsubj;negative
2164;extravagantly;strongsubj;negative
2165;extreme;weaksubj;negative
2166;extreme;strongsubj;negative
2167;extremely;strongsubj;negative
2168;extremism;weaksubj;negative
2169;extremist;weaksubj;negative
2170;extremists;weaksubj;negative
2171;exuberance;strongsubj;positive
2172;exuberant;strongsubj;positive
2173;exuberantly;strongsubj;positive
2174;exult;strongsubj;positive
2175;exultation;strongsubj;positive
2176;exultingly;strongsubj;positive
2177;fabricate;weaksubj;negative
2178;fabrication;strongsubj;negative
2179;fabulous;strongsubj;positive
2180;fabulously;strongsubj;positive
2181;facetious;strongsubj;negative
2182;facetiously;strongsubj;negative
2183;facilitate;weaksubj;positive
2184;fading;weaksubj;negative
2185;fail;weaksubj;negative
2186;failing;strongsubj;negative
2187;failure;weaksubj;negative
2188;failures;weaksubj;negative
2189;faint;weaksubj;negative
2190;fainthearted;strongsubj;negative
2191;fair;weaksubj;positive
2192;fairly;weaksubj;positive
2193;fairness;weaksubj;positive
2194;faith;strongsubj;positive
2195;faithful;strongsubj;positive
2196;faithfully;strongsubj;positive
2197;faithfulness;strongsubj;positive
2198;faithless;strongsubj;negative
2199;fake;strongsubj;negative
2200;fall;weaksubj;negative
2201;fallacies;strongsubj;negative
2202;fallacious;strongsubj;negative
2203;fallaciously;strongsubj;negative
2204;fallaciousness;strongsubj;negative
2205;fallacy;strongsubj;negative
2206;fallout;strongsubj;negative
2207;FALSE;strongsubj;negative
2208;falsehood;strongsubj;negative
2209;falsely;strongsubj;negative
2210;falsify;strongsubj;negative
2211;falter;strongsubj;negative
2212;famed;weaksubj;positive
2213;fame;strongsubj;positive
2214;famed;strongsubj;positive
2215;famine;strongsubj;negative
2216;famished;strongsubj;negative
2217;famous;weaksubj;positive
2218;famously;strongsubj;positive
2219;fanatic;strongsubj;negative
2220;fanatical;strongsubj;negative
2221;fanatically;strongsubj;negative
2222;fanaticism;strongsubj;negative
2223;fanatics;strongsubj;negative
2224;fanciful;strongsubj;negative
2225;fancy;strongsubj;positive
2226;fanfare;strongsubj;positive
2227;fantastic;strongsubj;positive
2228;fantastically;strongsubj;positive
2229;fantasy;strongsubj;positive
2230;farfetched;strongsubj;negative
2231;farfetched;strongsubj;negative
2232;farce;strongsubj;negative
2233;farcical;strongsubj;negative
2234;farcicalyetprovocative;strongsubj;negative
2235;farcically;strongsubj;negative
2236;farsighted;weaksubj;positive
2237;fascinate;strongsubj;positive
2238;fascinating;strongsubj;positive
2239;fascinatingly;strongsubj;positive
2240;fascination;strongsubj;positive
2241;fascism;strongsubj;negative
2242;fascist;strongsubj;negative
2243;fashionable;strongsubj;positive
2244;fashionably;strongsubj;positive
2245;fastgrowing;weaksubj;positive
2246;fastpaced;weaksubj;positive
2247;fastestgrowing;weaksubj;positive
2248;fastidious;strongsubj;negative
2249;fastidiously;strongsubj;negative
2250;fastuous;strongsubj;negative
2251;fat;weaksubj;negative
2252;fatal;weaksubj;negative
2253;fatalistic;strongsubj;negative
2254;fatalistically;strongsubj;negative
2255;fatally;weaksubj;negative
2256;fateful;strongsubj;negative
2257;fatefully;strongsubj;negative
2258;fathom;weaksubj;positive
2259;fathomless;strongsubj;negative
2260;fatigue;weaksubj;negative
2261;fatty;weaksubj;negative
2262;fatuity;strongsubj;negative
2263;fatuous;strongsubj;negative
2264;fatuously;strongsubj;negative
2265;fault;strongsubj;negative
2266;faulty;weaksubj;negative
2267;favor;weaksubj;positive
2268;favor;strongsubj;positive
2269;favorable;strongsubj;positive
2270;favored;weaksubj;positive
2271;favorite;strongsubj;positive
2272;fawn;strongsubj;both
2273;fawningly;strongsubj;negative
2274;favour;strongsubj;positive
2275;faze;weaksubj;negative
2276;fear;strongsubj;negative
2277;fearful;strongsubj;negative
2278;fearfully;strongsubj;negative
2279;fearless;strongsubj;positive
2280;fearlessly;strongsubj;positive
2281;fears;strongsubj;negative
2282;fearsome;strongsubj;negative
2283;feasible;weaksubj;positive
2284;feasibly;weaksubj;positive
2285;feat;weaksubj;positive
2286;featly;strongsubj;positive
2287;feckless;strongsubj;negative
2288;feeble;weaksubj;negative
2289;feeblely;weaksubj;negative
2290;feebleminded;strongsubj;negative
2291;feign;weaksubj;negative
2292;feint;weaksubj;negative
2293;feisty;strongsubj;positive
2294;felicitate;strongsubj;positive
2295;felicitous;strongsubj;positive
2296;felicity;strongsubj;positive
2297;fell;strongsubj;negative
2298;felon;weaksubj;negative
2299;felonious;weaksubj;negative
2300;ferocious;strongsubj;negative
2301;ferociously;strongsubj;negative
2302;ferocity;strongsubj;negative
2303;fertile;weaksubj;positive
2304;fervent;strongsubj;positive
2305;fervently;strongsubj;positive
2306;fervid;strongsubj;positive
2307;fervidly;strongsubj;positive
2308;fervor;strongsubj;positive
2309;feverish;weaksubj;negative
2310;festive;strongsubj;positive
2311;fetid;strongsubj;negative
2312;fever;weaksubj;negative
2313;fiasco;strongsubj;negative
2314;fiat;weaksubj;negative
2315;fib;strongsubj;negative
2316;fibber;strongsubj;negative
2317;fickle;strongsubj;negative
2318;fiction;weaksubj;negative
2319;fictional;weaksubj;negative
2320;fictitious;strongsubj;negative
2321;fidelity;strongsubj;positive
2322;fidget;strongsubj;negative
2323;fidgety;strongsubj;negative
2324;fiend;strongsubj;negative
2325;fiendish;strongsubj;negative
2326;fierce;weaksubj;negative
2327;fiery;weaksubj;positive
2328;fight;weaksubj;negative
2329;figurehead;weaksubj;negative
2330;filth;strongsubj;negative
2331;filthy;strongsubj;negative
2332;finagle;weaksubj;negative
2333;fine;weaksubj;positive
2334;fine;weaksubj;negative
2335;finely;strongsubj;positive
2336;firstclass;weaksubj;positive
2337;firstrate;strongsubj;positive
2338;fissures;weaksubj;negative
2339;fist;weaksubj;negative
2340;fit;strongsubj;positive
2341;fitting;strongsubj;positive
2342;flabbergast;strongsubj;negative
2343;flabbergasted;strongsubj;negative
2344;flagging;weaksubj;negative
2345;flagrant;strongsubj;negative
2346;flagrantly;strongsubj;negative
2347;flair;weaksubj;positive
2348;flak;strongsubj;negative
2349;flake;weaksubj;negative
2350;flakey;weaksubj;negative
2351;flaky;weaksubj;negative
2352;flame;weaksubj;positive
2353;flash;weaksubj;negative
2354;flashy;weaksubj;negative
2355;flatout;strongsubj;negative
2356;flatter;strongsubj;positive
2357;flattering;strongsubj;positive
2358;flatteringly;strongsubj;positive
2359;flaunt;strongsubj;negative
